Time	bounds_k1 (1)	bounds_ub_R1 (1)	C (1)	model_C (1)	model_D (1)	ub_R1 (1)	update_C (1)	update_R3 (1)	vR3 (1)
12.4	-0.2	0.2893842179	2.963172586	2.963172586	2.694393947	0.2893842179	2.963172586	0.1	0.289384218
12.5	-0.2	0.2836540265	2.941597309	2.941597309	2.724489781	0.2836540265	2.941597309	0.1	0.289384218
12.6	-0.2	0.2836540265	2.990839942	2.990839942	2.754812922	0.2836540265	2.990839942	0.1	0.283654026
12.7	-0.2	0.2780373005	2.961228642	2.961228642	2.784310567	0.2780373005	2.961228642	0.1	0.283654026
12.8	-0.2	0.2780373005	2.940080585	2.940080585	2.81420649	0.2780373005	2.940080585	0.1	0.2780373
12.9	-0.2	0.272531793	2.987224803	2.987224803	2.844656511	0.272531793	2.987224803	0.1	0.2780373
13	-0.2	0.272531793	2.958199847	2.958199847	2.873966091	0.272531793	2.958199847	0.1	0.272531793
13.1	-0.2	0.267135302	2.936369447	2.936369447	2.903975109	0.267135302	2.936369447	0.1	0.272531793
13.2	-0.2	0.267135302	2.982580147	2.982580147	2.934218206	0.267135302	2.982580147	0.1	0.267135302
13.3	-0.2	0.2618456686	2.953050626	2.953050626	2.963630689	0.2618456686	2.953050626	0.1	0.267135302
13.4	-0.2	0.2618456686	2.931652497	2.931652497	2.993441515	0.2618456686	2.931652497	0.1	0.261845669
13.5	-0.2	0.256660777	2.975890237	2.975890237	3.023747659	0.256660777	2.975890237	0.1	0.261845669
13.6	-0.2	0.256660777	2.946945439	2.946945439	3.052973762	0.256660777	2.946945439	0.1	0.256660777
13.7	-0.2	0.2515785531	2.924934043	2.924934043	3.082835247	0.2515785531	2.924934043	0.1	0.256660777
13.8	-0.2	0.2515785531	2.968295818	2.968295818	3.112937315	0.2515785531	2.968295818	0.1	0.251578553
13.9	-0.2	0.2465969639	2.93890772	2.93890772	3.142205121	0.2465969639	2.93890772	0.1	0.251578553
14	-0.2	0.2465969639	2.91733218	2.91733218	3.171871335	0.2465969639	2.91733218	0.1	0.246596964
14.1	-0.2	0.2417140169	2.958839015	2.958839015	3.201977634	0.2417140169	2.958839015	0.1	0.246596964
14.2	-0.2	0.2417140169	2.930032841	2.930032841	3.231061924	0.2417140169	2.930032841	0.1	0.241714017
14.3	-0.2	0.2369277587	2.907907935	2.907907935	3.260721271	0.2369277587	2.907907935	0.1	0.241714017
14.4	-0.2	0.2369277587	2.948592881	2.948592881	3.290627452	0.2369277587	2.948592881	0.1	0.236927759
14.5	-0.2	0.2322362747	2.919399855	2.919399855	3.31969706	0.2322362747	2.919399855	0.1	0.236927759
14.6	-0.2	0.2322362747	2.897713052	2.897713052	3.349165138	0.2322362747	2.897713052	0.1	0.232236275
14.7	-0.2	0.2276376884	2.936654085	2.936654085	3.379021408	0.2276376884	2.936654085	0.1	0.232236275
14.8	-0.2	0.2276376884	2.90803912	2.90803912	3.407911425	0.2276376884	2.90803912	0.1	0.227637688
14.9	-0.2	0.2231301601	2.885862027	2.885862027	3.437319688	0.2231301601	2.885862027	0.1	0.227637688
15	-0.2	0.2231301601	2.924031976	2.924031976	3.46698079	0.2231301601	2.924031976	0.1	0.22313016
15.1	-0.2	0.218711887	2.895082119	2.895082119	3.495804226	0.218711887	2.895082119	0.1	0.22313016
15.2	-0.2	0.218711887	2.873344162	2.873344162	3.525026192	0.218711887	2.873344162	0.1	0.218711887
15.3	-0.2	0.2143811014	2.909874641	2.909874641	3.554587593	0.2143811014	2.909874641	0.1	0.218711887
15.4	-0.2	0.2143811014	2.88149803	2.88149803	3.583236314	0.2143811014	2.88149803	0.1	0.214381101
15.5	-0.2	0.2101360712	2.859324356	2.859324356	3.612349777	0.2101360712	2.859324356	0.1	0.214381101
15.6	-0.2	0.2101360712	2.895131482	2.895131482	3.641721849	0.2101360712	2.895131482	0.1	0.210136071
15.7	-0.2	0.2059750982	2.86646776	2.86646776	3.670256266	0.2059750982	2.86646776	0.1	0.210136071
15.8	-0.2	0.2059750982	2.844733154	2.844733154	3.699189271	0.2059750982	2.844733154	0.1	0.205975098
15.9	-0.2	0.201896518	2.878999058	2.878999058	3.728415905	0.201896518	2.878999058	0.1	0.205975098
16	-0.2	0.201896518	2.850902915	2.850902915	3.75678133	0.201896518	2.850902915	0.1	0.201896518
16.1	-0.2	0.1978986991	2.828782967	2.828782967	3.785561112	0.1978986991	2.828782967	0.1	0.201896518
16.2	-0.2	0.1978986991	2.86237036	2.86237036	3.814605047	0.1978986991	2.86237036	0.1	0.197898699
16.3	-0.2	0.1939800423	2.834030995	2.834030995	3.842812336	0.1939800423	2.834030995	0.1	0.197898699
16.4	-0.2	0.1939800423	2.812349052	2.812349052	3.871418266	0.1939800423	2.812349052	0.1	0.193980042
16.5	-0.2	0.1901389801	2.844487638	2.844487638	3.900274798	0.1901389801	2.844487638	0.1	0.193980042
16.6	-0.2	0.1901389801	2.81670943	2.81670943	3.928319571	0.1901389801	2.81670943	0.1	0.19013898
16.7	-0.2	0.186373976	2.794688605	2.794688605	3.956731252	0.186373976	2.794688605	0.1	0.19013898
16.8	-0.2	0.186373976	2.826190805	2.826190805	3.985412413	0.186373976	2.826190805	0.1	0.186373976
16.9	-0.2	0.1826835241	2.798209642	2.798209642	4.013258837	0.1826835241	2.798209642	0.1	0.186373976
17	-0.2	0.1826835241	2.776624858	2.776624858	4.041503956	0.1826835241	2.776624858	0.1	0.182683524
17.1	-0.2	0.1790661479	2.806765183	2.806765183	4.069959255	0.1790661479	2.806765183	0.1	0.182683524
17.2	-0.2	0.1790661479	2.779338083	2.779338083	4.097650309	0.1790661479	2.779338083	0.1	0.179066148
17.3	-0.2	0.1755204006	2.757457232	2.757457232	4.125663586	0.1755204006	2.757457232	0.1	0.179066148
17.4	-0.2	0.1755204006	2.787000738	2.787000738	4.153951459	0.1755204006	2.787000738	0.1	0.175520401
17.5	-0.2	0.1720448638	2.759407582	2.759407582	4.181407317	0.1720448638	2.759407582	0.1	0.175520401
17.6	-0.2	0.1720448638	2.737960001	2.737960001	4.20926192	0.1720448638	2.737960001	0.1	0.172044864
17.7	-0.2	0.1686381473	2.766223399	2.766223399	4.237288736	0.1686381473	2.766223399	0.1	0.172044864
17.8	-0.2	0.1686381473	2.739176624	2.739176624	4.264596958	0.1686381473	2.739176624	0.1	0.168638147
17.9	-0.2	0.1652988882	2.71747239	2.71747239	4.29218532	0.1652988882	2.71747239	0.1	0.168638147
18	-0.2	0.1652988882	2.745176135	2.745176135	4.320053195	0.1652988882	2.745176135	0.1	0.165298888
18.1	-0.2	0.1620257509	2.71799707	2.71799707	4.347092503	0.1620257509	2.71799707	0.1	0.165298888
18.2	-0.2	0.1620257509	2.696722609	2.696722609	4.374530605	0.1620257509	2.696722609	0.1	0.162025751
