time	[Ac]	[Glcxt]	[O2]	[X]	[dummy_S]	dummy_vAc	dummy_vGlcxt	dummy_vO2	dummy_vX	fba__v1	fba__v2	fba__v3	fba__v4	update__update_Ac	update__update_Glcxt	update__update_O2	update__update_X	bounds__Km_vGlcxt	bounds__Vmax_vGlcxt	bounds__dt	bounds__lb_def_vAc	bounds__lb_def_vGlcxt	bounds__lb_def_vO2	bounds__lb_def_vX	bounds__ub_def_vAc	bounds__ub_def_vGlcxt	bounds__ub_def_vO2	bounds__ub_def_vX	bounds__ub_kin_vGlcxt	dt	fba__lb	fba__lb_irrev	fba__ub	lb_vAc	lb_vGlcxt	lb_vO2	lb_vX	ub_vAc	ub_vGlcxt	ub_vO2	ub_vX	update__Km_vFBA	update__Y	vAc	vGlcxt	vO2	vX
2.0	0.393912425922	10.7936175287	0.204168908818	0.00739429423279	0.0	0.0	0.0	0.0	0.0	0.0585171696587	0.0	0.0	0.190373927363	0.00703700637334	0.00738061833901	0.00673458684769	0.00739429423279	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791832767	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.04168908818	0.0	3.93912425922	14.9791832767	2.04168908818	0.0739429423279	0.02	0.00739429423279	0.0	3.66089062319	2.04810093805	0.248891097022
2.1	0.393172096408	10.7928410138	0.203460473874	0.00817224799366	0.0	0.0	0.0	0.0	0.0	0.058333973948	0.0	0.0	0.189777936697	0.00777666232538	0.00815713217353	0.00744082128074	0.00817224799366	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791817811	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.03460473874	0.0	3.93172096408	14.9791817811	2.03460473874	0.0817224799366	0.02	0.00817224799366	0.0	3.64942972269	2.04168908818	0.248111910645
2.2	0.392353955407	10.7919828019	0.202677761473	0.00903205023269	0.0	0.0	0.0	0.0	0.0	0.0581315639639	0.0	0.0	0.189119436229	0.00859397754711	0.009015342751	0.00822082865646	0.00903205023269	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791801279	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.02677761473	0.0	3.92353955407	14.9791801279	2.02677761473	0.0903205023269	0.02	0.00903205023269	0.0	3.63676675868	2.03460473874	0.247251000193
2.3	0.391449834151	10.7910342978	0.201813015917	0.00998231221558	0.0	0.0	0.0	0.0	0.0	0.0579079318493	0.0	0.0	0.188391893797	0.00949708600392	0.00996384531974	0.00908224671002	0.00998231221558	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791783004	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.01813015917	0.0	3.91449834151	14.9791783004	2.01813015917	0.0998231221558	0.02	0.00998231221558	0.0	3.62277611771	2.02677761473	0.246299825646
2.4	0.390450708514	10.7899860019	0.200857679376	0.0110325511947	0.0	0.0	0.0	0.0	0.0	0.0576608616906	0.0	0.0	0.187588100368	0.010494968924	0.0110121394177	0.01003348689	0.0110325511947	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791762803	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.00857679376	0.0	3.90450708514	14.9791762803	2.00857679376	0.110325511947	0.02	0.0110325511947	0.0	3.60731917008	2.01813015917	0.245248962059
2.5	0.389346609966	10.788827415	0.199802310847	0.0121932857265	0.0	0.0	0.0	0.0	0.0	0.0573879083933	0.0	0.0	0.186700101316	0.0115975419031	0.0121707240087	0.0110838082438	0.0121932857265	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791740472	0.1	-1000.0	0.0	1000.0	0.0	0.0	-1.99802310847	0.0	3.89346609966	14.9791740472	1.99802310847	0.121932857265	0.02	0.0121932857265	0.0	3.5902429483	2.00857679376	0.244088009709
2.6	0.38812652739	10.7875469335	0.198636497431	0.0134761410161	0.0	0.0	0.0	0.0	0.0	0.0570863745276	0.0	0.0	0.185719121091	0.012815750666	0.0134512026261	0.0122433970622	0.0134761410161	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791715786	0.1	-1000.0	0.0	1000.0	0.0	0.0	-1.98636497431	0.0	3.8812652739	14.9791715786	1.98636497431	0.134761410161	0.02	0.0134761410161	0.0	3.57137869858	1.99802310847	0.242805495619
2.7	0.386778298863	10.7861317331	0.197348757366	0.0148939653448	0.0	0.0	0.0	0.0	0.0	0.0567532849801	0.0	0.0	0.184635480756	0.0141616762632	0.014866399578	0.0135234523016	0.0148939653448	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791688496	0.1	-1000.0	0.0	1000.0	0.0	0.0	-1.97348757366	0.0	3.86778298863	14.9791688496	1.97348757366	0.148939653448	0.02	0.0148939653448	0.0	3.55054029495	1.98636497431	0.241388765737
2.8	0.385288492398	10.7845676401	0.195926434225	0.0164609587456	0.0	0.0	0.0	0.0	0.0	0.0563853592474	0.0	0.0	0.183438507848	0.0156486505229	0.0164304883754	0.014936276619	0.0164609587456	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791658326	0.1	-1000.0	0.0	1000.0	0.0	0.0	-1.95926434225	0.0	3.85288492398	14.9791658326	1.95926434225	0.164609587456	0.02	0.0164609587456	0.0	3.52752250593	1.97348757366	0.239823867096
2.9	0.383642274599	10.7828389897	0.194355581753	0.0181928152148	0.0	0.0	0.0	0.0	0.0	0.0559789812073	0.0	0.0	0.182116438036	0.0172913826167	0.0181591336701	0.0164953725762	0.0181928152148	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791624972	0.1	-1000.0	0.0	1000.0	0.0	0.0	-1.94355581753	0.0	3.83642274599	14.9791624972	1.94355581753	0.181928152148	0.02	0.0181928152148	0.0	3.50209910344	1.95926434225	0.238095419244
