	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
MODEL9080388197	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0	L2V1	11.0	0.0	20.0	10.0	1.0	0.0	1.0	0.0	15.0	3.0	R30	2016-05-10	non_curated
MODEL9080747936	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	51.0	L2V1	54.0	0.0	84.0	51.0	3.0	0.0	3.0	0.0	50.0	19.0	R30	2016-05-10	non_curated
MODEL9081220742	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.0	196.0	L2V1	200.0	0.0	337.0	196.0	4.0	0.0	4.0	0.0	188.0	5.0	R30	2016-05-10	non_curated
MODEL9085850385	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	58.0	L2V1	58.0	0.0	94.0	58.0	0.0	0.0	0.0	0.0	59.0	3.0	R30	2016-05-10	non_curated
MODEL9086207764	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	362.0	362.0	L2V1	384.0	0.0	570.0	362.0	22.0	0.0	22.0	0.0	284.0	5.0	R30	2016-05-10	non_curated
MODEL9086518048	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	367.0	367.0	L2V1	389.0	0.0	580.0	367.0	22.0	0.0	22.0	0.0	286.0	5.0	R30	2016-05-10	non_curated
MODEL9086628127	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	17.0	L2V1	17.0	0.0	28.0	17.0	0.0	0.0	0.0	0.0	16.0	3.0	R30	2016-05-10	non_curated
MODEL9086926384	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	90.0	L2V1	99.0	0.0	148.0	90.0	9.0	0.0	9.0	0.0	85.0	4.0	R30	2016-05-10	non_curated
MODEL9086953089	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.0	117.0	L2V1	126.0	0.0	196.0	117.0	9.0	0.0	9.0	0.0	114.0	5.0	R30	2016-05-10	non_curated
MODEL9087255381	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	371.0	371.0	L2V1	393.0	0.0	586.0	371.0	22.0	0.0	22.0	0.0	289.0	5.0	R30	2016-05-10	non_curated
MODEL9087474843	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	371.0	371.0	L2V1	393.0	0.0	586.0	371.0	22.0	0.0	22.0	0.0	290.0	5.0	R30	2016-05-10	non_curated
MODEL9087766308	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	L2V1	2.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	5.0	3.0	R30	2016-05-10	non_curated
MODEL9087988095	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	L2V1	2.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	5.0	3.0	R30	2016-05-10	non_curated
MODEL9088169066	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	L2V1	2.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	5.0	3.0	R30	2016-05-10	non_curated
MODEL9088294310	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	L2V1	2.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	5.0	3.0	R30	2016-05-10	non_curated
MODEL9089491423	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	204.0	204.0	L2V1	208.0	0.0	349.0	204.0	4.0	0.0	4.0	0.0	196.0	5.0	R30	2016-05-10	non_curated
MODEL9089538076	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	206.0	206.0	L2V1	210.0	0.0	353.0	206.0	4.0	0.0	4.0	0.0	200.0	5.0	R30	2016-05-10	non_curated
MODEL9089914876	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.0	202.0	L2V1	206.0	0.0	347.0	202.0	4.0	0.0	4.0	0.0	192.0	5.0	R30	2016-05-10	non_curated
MODEL9147091146	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	79.0	L2V1	80.0	0.0	132.0	79.0	1.0	0.0	1.0	0.0	77.0	4.0	R30	2016-05-10	non_curated
MODEL9147232940	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	63.0	L2V1	64.0	0.0	104.0	63.0	1.0	0.0	1.0	0.0	64.0	3.0	R30	2016-05-10	non_curated
MODEL9147975215	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	29.0	L2V1	29.0	0.0	47.0	29.0	0.0	0.0	0.0	0.0	37.0	3.0	R30	2016-05-10	non_curated
MODEL9200487367	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0	L2V1	13.0	9.0	8.0	8.0	5.0	0.0	4.0	1.0	5.0	0.0	R30	2016-05-10	non_curated
MODEL9808533471	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	41.0	74.0	0.0	0.0	41.0	0.0	31.0	10.0	0.0	10.0	R30	2016-05-10	non_curated
MODEL9810152478	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	100.0	177.0	0.0	0.0	100.0	0.0	70.0	30.0	0.0	16.0	R30	2016-05-10	non_curated
MODEL9811206584	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	8.0	22.0	0.0	0.0	8.0	0.0	4.0	4.0	0.0	7.0	R30	2016-05-10	non_curated
