time	[Ac]	[Glcxt]	[O2]	[X]	[dummy_S]	dummy_EX_Ac	dummy_EX_Glcxt	dummy_EX_O2	dummy_EX_X	fba__v1	fba__v2	fba__v3	fba__v4	fba__vGlcxt	fba__vO2	update__update_Ac	update__update_Glcxt	update__update_O2	update__update_X	EX_Ac	EX_Glcxt	EX_O2	EX_X	Y	bounds__Km_vGlcxt	bounds__Vmax_vGlcxt	bounds__lb_default	bounds__ub_default	bounds__zero	dt	fba__lb_default	fba__ub_default	fba__ub_vO2	fba__zero	lb_EX_Ac	lb_EX_Glcxt	lb_EX_O2	lb_EX_X	ub_EX_Ac	ub_EX_Glcxt	ub_EX_O2	ub_EX_X	ub_vGlcxt
0.1	5.74442989128	0.0	0.0	0.627260686084	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.627260686084	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-574.442989128	0.0	0.0	-62.7260686084	1000.0	1000.0	1000.0	1000.0	0.0
0.11	5.57544417699	0.0	0.0	0.63154640037	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.63154640037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-557.544417699	0.0	0.0	-63.154640037	1000.0	1000.0	1000.0	1000.0	0.0
0.12	5.40645846271	0.0	0.0	0.635832114656	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.635832114656	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-540.645846271	0.0	0.0	-63.5832114656	1000.0	1000.0	1000.0	1000.0	0.0
0.13	5.23747274842	0.0	0.0	0.640117828941	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.640117828941	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-523.747274842	0.0	0.0	-64.0117828941	1000.0	1000.0	1000.0	1000.0	0.0
0.14	5.06848703414	0.0	0.0	0.644403543227	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.644403543227	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-506.848703414	0.0	0.0	-64.4403543227	1000.0	1000.0	1000.0	1000.0	0.0
0.15	4.89950131985	0.0	0.0	0.648689257513	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.648689257513	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-489.950131985	0.0	0.0	-64.8689257513	1000.0	1000.0	1000.0	1000.0	0.0
0.16	4.73051560557	0.0	0.0	0.652974971798	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.652974971798	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-473.051560557	0.0	0.0	-65.2974971798	1000.0	1000.0	1000.0	1000.0	0.0
0.17	4.56152989128	0.0	0.0	0.657260686084	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.657260686084	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-456.152989128	0.0	0.0	-65.7260686084	1000.0	1000.0	1000.0	1000.0	0.0
0.18	4.39254417699	0.0	0.0	0.66154640037	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.66154640037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-439.254417699	0.0	0.0	-66.154640037	1000.0	1000.0	1000.0	1000.0	0.0
0.19	4.22355846271	0.0	0.0	0.665832114656	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.665832114656	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-422.355846271	0.0	0.0	-66.5832114656	1000.0	1000.0	1000.0	1000.0	0.0
0.2	4.05457274842	0.0	0.0	0.670117828941	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.670117828941	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-405.457274842	0.0	0.0	-67.0117828941	1000.0	1000.0	1000.0	1000.0	0.0
0.21	3.88558703414	0.0	0.0	0.674403543227	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.674403543227	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-388.558703414	0.0	0.0	-67.4403543227	1000.0	1000.0	1000.0	1000.0	0.0
0.22	3.71660131985	0.0	0.0	0.678689257513	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.678689257513	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-371.660131985	0.0	0.0	-67.8689257513	1000.0	1000.0	1000.0	1000.0	0.0
0.23	3.54761560557	0.0	0.0	0.682974971798	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.682974971798	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-354.761560557	0.0	0.0	-68.2974971798	1000.0	1000.0	1000.0	1000.0	0.0
0.24	3.37862989128	0.0	0.0	0.687260686084	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.687260686084	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-337.862989128	0.0	0.0	-68.7260686084	1000.0	1000.0	1000.0	1000.0	0.0
0.25	3.20964417699	0.0	0.0	0.69154640037	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.69154640037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-320.964417699	0.0	0.0	-69.154640037	1000.0	1000.0	1000.0	1000.0	0.0
0.26	3.04065846271	0.0	0.0	0.695832114656	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.695832114656	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-304.065846271	0.0	0.0	-69.5832114656	1000.0	1000.0	1000.0	1000.0	0.0
0.27	2.87167274842	0.0	0.0	0.700117828941	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.700117828941	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-287.167274842	0.0	0.0	-70.0117828941	1000.0	1000.0	1000.0	1000.0	0.0
0.28	2.70268703414	0.0	0.0	0.704403543227	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.704403543227	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-270.268703414	0.0	0.0	-70.4403543227	1000.0	1000.0	1000.0	1000.0	0.0
0.29	2.53370131985	0.0	0.0	0.708689257513	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.708689257513	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-253.370131985	0.0	0.0	-70.8689257513	1000.0	1000.0	1000.0	1000.0	0.0
0.3	2.36471560557	0.0	0.0	0.712974971798	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.712974971798	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-236.471560557	0.0	0.0	-71.2974971798	1000.0	1000.0	1000.0	1000.0	0.0
0.31	2.19572989128	0.0	0.0	0.717260686084	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.717260686084	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-219.572989128	0.0	0.0	-71.7260686084	1000.0	1000.0	1000.0	1000.0	0.0
0.32	2.02674417699	0.0	0.0	0.72154640037	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.72154640037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-202.674417699	0.0	0.0	-72.154640037	1000.0	1000.0	1000.0	1000.0	0.0
0.33	1.85775846271	0.0	0.0	0.725832114656	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.725832114656	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-185.775846271	0.0	0.0	-72.5832114656	1000.0	1000.0	1000.0	1000.0	0.0
0.34	1.68877274842	0.0	0.0	0.730117828941	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.730117828941	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-168.877274842	0.0	0.0	-73.0117828941	1000.0	1000.0	1000.0	1000.0	0.0
0.35	1.51978703414	0.0	0.0	0.734403543227	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.734403543227	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-151.978703414	0.0	0.0	-73.4403543227	1000.0	1000.0	1000.0	1000.0	0.0
0.36	1.35080131985	0.0	0.0	0.738689257513	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.738689257513	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-135.080131985	0.0	0.0	-73.8689257513	1000.0	1000.0	1000.0	1000.0	0.0
0.37	1.18181560557	0.0	0.0	0.742974971798	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.742974971798	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-118.181560557	0.0	0.0	-74.2974971798	1000.0	1000.0	1000.0	1000.0	0.0
0.38	1.01282989128	0.0	0.0	0.747260686084	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.747260686084	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-101.282989128	0.0	0.0	-74.7260686084	1000.0	1000.0	1000.0	1000.0	0.0
0.39	0.843844176994	0.0	0.0	0.75154640037	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.75154640037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-84.3844176994	0.0	0.0	-75.154640037	1000.0	1000.0	1000.0	1000.0	0.0
0.4	0.674858462708	0.0	0.0	0.755832114656	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.755832114656	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-67.4858462708	0.0	0.0	-75.5832114656	1000.0	1000.0	1000.0	1000.0	0.0
0.41	0.505872748423	0.0	0.0	0.760117828941	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.760117828941	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-50.5872748423	0.0	0.0	-76.0117828941	1000.0	1000.0	1000.0	1000.0	0.0
0.42	0.336887034137	0.0	0.0	0.764403543227	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.764403543227	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-33.6887034137	0.0	0.0	-76.4403543227	1000.0	1000.0	1000.0	1000.0	0.0
0.43	0.167901319851	0.0	0.0	0.768689257513	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	15.0	16.8985714286	0.0	0.0	-0.428571428571	-16.8985714286	0.0	0.0	0.428571428571	0.768689257513	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	-16.7901319851	0.0	0.0	-76.8689257513	1000.0	1000.0	1000.0	1000.0	0.0
0.44	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.425821252476	0.0	0.0	0.0	0.0	14.9037438367	16.7901319851	0.0	0.0	-0.425821252476	-16.7901319851	0.0	0.0	0.425821252476	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.45	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.46	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.47	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.48	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.49	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.5	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.51	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.52	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.53	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.54	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.55	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.56	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.57	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.58	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.59	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.6	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
0.61	0.0	0.0	0.0	0.772947470037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.772947470037	0.015	10.0	-1000.0	1000.0	0.0	0.01	-1000.0	1000.0	15.0	0.0	0.0	0.0	0.0	-77.2947470037	1000.0	1000.0	1000.0	1000.0	0.0
